Rv_ID,gene_name,in_vitro_score,2003A_Sassetti,2012_Zhang,2013_DeJesus,2017A_DeJesus,Sanger_unknown,COG_unknown,Tuberculist_unknown,gene_name_unknown,UK_score_1,UK_score_2,UK_score_3,UK_score_4
Rv0001,dnaA,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3582c,ispD,4,1,1,1,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Rv0510,hemC,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0509,hemA,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0500,proC,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2827c,-,4,1,1,1,1,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0
Rv1547,dnaE,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0479c,-,4,1,1,1,1,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0
Rv2786c,ribF,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1595,nadB,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1599,hisD,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3579c,-,4,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Rv3580c,cysS,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0462,lpd,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1601,hisB,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2839c,infB,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1602,hisH,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
