lead_gene,partner_gene,p_value_FDR,sorted_gene_pair,outlier_driven_flag
Rv0001,Rv0062,0.0001962568214382677,"('Rv0001', 'Rv0062')",True
Rv0001,Rv0283,4.421194277238255e-09,"('Rv0001', 'Rv0283')",True
Rv0001,Rv0415,6.31041011849693e-09,"('Rv0001', 'Rv0415')",False
Rv0001,Rv0537c,0.0003644941760394495,"('Rv0001', 'Rv0537c')",True
Rv0001,Rv2247,2.852073818524888e-07,"('Rv0001', 'Rv2247')",False
Rv0001,Rv2981c,3.093855328278229e-07,"('Rv0001', 'Rv2981c')",False
Rv0001,Rv3806c,0.0005421004649421833,"('Rv0001', 'Rv3806c')",True
Rv0002,Rv0014c,1.284574961899697e-07,"('Rv0002', 'Rv0014c')",True
Rv0002,Rv0526,2.192588259892299e-16,"('Rv0002', 'Rv0526')",False
Rv0002,Rv0640,7.559004365397953e-11,"('Rv0002', 'Rv0640')",True
Rv0002,Rv0667,0.0001676879447056887,"('Rv0002', 'Rv0667')",True
Rv0002,Rv0684,2.894451378070672e-08,"('Rv0002', 'Rv0684')",True
Rv0002,Rv0718,5.492142776361131e-05,"('Rv0002', 'Rv0718')",True
Rv0002,Rv1098c,3.411380983102414e-05,"('Rv0002', 'Rv1098c')",True
Rv0002,Rv1208,0.000110013967736511,"('Rv0002', 'Rv1208')",True
Rv0002,Rv1402,0.0002678846778833305,"('Rv0002', 'Rv1402')",False
Rv0002,Rv1415,4.198731454207598e-07,"('Rv0002', 'Rv1415')",True
Rv0002,Rv1481,8.617870017974589e-05,"('Rv0002', 'Rv1481')",True
Rv0002,Rv1658,2.728005032189888e-38,"('Rv0002', 'Rv1658')",False
Rv0002,Rv1713,3.11498283593366e-08,"('Rv0002', 'Rv1713')",True
Rv0002,Rv2109c,0.0003930199773808556,"('Rv0002', 'Rv2109c')",True
Rv0002,Rv2139,1.063209608654946e-05,"('Rv0002', 'Rv2139')",True
Rv0002,Rv2225,2.999130812100804e-07,"('Rv0002', 'Rv2225')",True
Rv0002,Rv2399c,8.765801551269948e-07,"('Rv0002', 'Rv2399c')",False
Rv0002,Rv2676c,1.631928060304699e-06,"('Rv0002', 'Rv2676c')",True
Rv0002,Rv3001c,0.0002655213037376588,"('Rv0002', 'Rv3001c')",True
Rv0002,Rv3031,2.896266591877655e-08,"('Rv0002', 'Rv3031')",True
Rv0002,Rv3341,9.55567143191926e-07,"('Rv0002', 'Rv3341')",False
Rv0002,Rv3587c,2.16209640120323e-07,"('Rv0002', 'Rv3587c')",True
Rv0002,Rv3597c,5.161520647422123e-05,"('Rv0002', 'Rv3597c')",True
Rv0002,Rv3601c,4.036659306054874e-05,"('Rv0002', 'Rv3601c')",False
Rv0002,Rv3625c,3.772315077973381e-24,"('Rv0002', 'Rv3625c')",True
Rv0002,Rv3764c,0.0002411755344530393,"('Rv0002', 'Rv3764c')",True
Rv0002,Rv3782,1.030632450032267e-08,"('Rv0002', 'Rv3782')",True
Rv0002,Rv3873,2.224028467127839e-07,"('Rv0002', 'Rv3873')",True
Rv0004,Rv0744c,0.0008577085821296751,"('Rv0004', 'Rv0744c')",False
Rv0007,Rv3682,2.275663411971887e-09,"('Rv0007', 'Rv3682')",False
Rv0011c,Rv0952,5.584864416360427e-06,"('Rv0011c', 'Rv0952')",False
Rv0011c,Rv1599,4.257471268697388e-07,"('Rv0011c', 'Rv1599')",False
Rv0011c,Rv3028c,0.0007065308525918357,"('Rv0011c', 'Rv3028c')",False
Rv0012,Rv0483,9.822851149881826e-05,"('Rv0012', 'Rv0483')",False
Rv0012,Rv1823,2.733145508333775e-13,"('Rv0012', 'Rv1823')",False
Rv0012,Rv1824,7.1630133473438e-07,"('Rv0012', 'Rv1824')",False
Rv0012,Rv1825,2.260278164658106e-09,"('Rv0012', 'Rv1825')",False
Rv0012,Rv3586,1.985599804753462e-07,"('Rv0012', 'Rv3586')",False
Rv0014c,Rv0227c,0.0007275493148270351,"('Rv0014c', 'Rv0227c')",False
Rv0014c,Rv0509,1.585268262343263e-11,"('Rv0014c', 'Rv0509')",True
Rv0014c,Rv0526,2.155474040904626e-06,"('Rv0014c', 'Rv0526')",True
Rv0014c,Rv0640,1.695519920448674e-47,"('Rv0014c', 'Rv0640')",True
Rv0014c,Rv0641,5.57564395034827e-05,"('Rv0014c', 'Rv0641')",True
Rv0014c,Rv0700,1.556064811763127e-10,"('Rv0014c', 'Rv0700')",False
Rv0014c,Rv0701,6.804542889467933e-07,"('Rv0014c', 'Rv0701')",True
Rv0014c,Rv0718,1.909981084709326e-23,"('Rv0014c', 'Rv0718')",False
Rv0014c,Rv0809,0.0006289241639251234,"('Rv0014c', 'Rv0809')",True
Rv0014c,Rv0951,7.516238754778804e-06,"('Rv0014c', 'Rv0951')",True
Rv0014c,Rv1177,0.0001400239295704023,"('Rv0014c', 'Rv1177')",True
Rv0014c,Rv1327c,3.351220760237882e-05,"('Rv0014c', 'Rv1327c')",True
Rv0014c,Rv1383,4.192372073540701e-07,"('Rv0014c', 'Rv1383')",True
Rv0014c,Rv1415,9.795880508986397e-18,"('Rv0014c', 'Rv1415')",True
Rv0014c,Rv1630,3.296524470819597e-05,"('Rv0014c', 'Rv1630')",False
Rv0014c,Rv1652,3.193787486024895e-08,"('Rv0014c', 'Rv1652')",True
Rv0014c,Rv1658,1.711894003022783e-06,"('Rv0014c', 'Rv1658')",True
Rv0014c,Rv1713,4.577409596327618e-41,"('Rv0014c', 'Rv1713')",True
Rv0014c,Rv1826,0.0006432994480730073,"('Rv0014c', 'Rv1826')",True
Rv0014c,Rv1990c,4.892395775664974e-07,"('Rv0014c', 'Rv1990c')",True
Rv0014c,Rv2247,3.923423393592778e-05,"('Rv0014c', 'Rv2247')",True
Rv0014c,Rv2371,4.397928131711687e-05,"('Rv0014c', 'Rv2371')",True
Rv0014c,Rv2421c,7.528956896752687e-12,"('Rv0014c', 'Rv2421c')",True
Rv0014c,Rv2460c,3.278175769449449e-14,"('Rv0014c', 'Rv2460c')",True
Rv0014c,Rv2509,0.0003078735688625113,"('Rv0014c', 'Rv2509')",False
Rv0014c,Rv2612c,3.541114207383104e-06,"('Rv0014c', 'Rv2612c')",True
Rv0014c,Rv2676c,4.199910488622793e-34,"('Rv0014c', 'Rv2676c')",True
Rv0014c,Rv2830c,3.057734958660839e-06,"('Rv0014c', 'Rv2830c')",True
Rv0014c,Rv2921c,5.874468505427364e-16,"('Rv0014c', 'Rv2921c')",False
Rv0014c,Rv3001c,9.044905949723621e-15,"('Rv0014c', 'Rv3001c')",True
Rv0014c,Rv3219,1.454078412399285e-05,"('Rv0014c', 'Rv3219')",True
Rv0014c,Rv3246c,1.529651624151025e-05,"('Rv0014c', 'Rv3246c')",False
Rv0014c,Rv3436c,0.0006499930866165338,"('Rv0014c', 'Rv3436c')",False
Rv0014c,Rv3460c,3.282006640306327e-06,"('Rv0014c', 'Rv3460c')",False
Rv0014c,Rv3579c,0.000114469758327085,"('Rv0014c', 'Rv3579c')",True
Rv0014c,Rv3587c,3.105985656113321e-08,"('Rv0014c', 'Rv3587c')",True
Rv0014c,Rv3713,4.188894289500198e-06,"('Rv0014c', 'Rv3713')",True
Rv0014c,Rv3782,1.843216376692141e-24,"('Rv0014c', 'Rv3782')",True
