column_ID_std	column_ID_SI	num_replicates_control	num_replicates_experimental	meaning	paper_title	paper_URL	in_vitro_cell_vivo	in_vitro_media	carbon_source	stress_description	GI_RvID	GI_name	MicArr_or_TnSeq	stat_analysis	mouse_strain	cell_type	Mtb_strain	plot_SI_graph
	2003A_Sassetti	 	 	 	Genes required for mycobacterial growth defined by high density mutagenesis	https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2958.2003.03425.x	in_vitro	7H10	glycerol	-	 	 	microarray	 	 	 	 	No
	2003B_Sassetti	 	 	 	Genetic requirements for mycobacterial survival during infection	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC240732/	in_vivo	-	-	 	 	 	microarray	 	 	 	 	No
nambi_2015_ctpC_vs_nambi_2015_wt	2016_Nambi	2	2	Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC	The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/	in_vivo	 	 	 	Rv3270	ctpC	TnSeq	 	 	 	 	Yes
xu_van_16_vs_xu_van_0	2017_Xu_1A	3	3	Mutants exhibiting altered fitness in presence of vancomycin	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Vancomycin	 	 	TnSeq	 	 	 	 	Yes
xu_rif_4_vs_xu_rif_0	2017_Xu_1B	3	3	Mutants exhibiting altered fitness in presence of rifampin	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Rifampicin	 	 	TnSeq	 	 	 	 	Yes
xu_inh_02_vs_xu_inh_0	2017_Xu_1C	4	3	Mutants exhibiting altered fitness in presence of isoniazid	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Isoniazid	 	 	TnSeq	 	 	 	 	Yes
xu_inh_025_vs_xu_inh_0		4	3	Mutants exhibiting altered fitness in presence of isoniazid	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Isoniazid	 	 	TnSeq	 	 	 	 	
xu_emb_2.5_vs_xu_emb_0	2017_Xu_1D	3	3	Mutants exhibiting altered fitness in presence of ethambutol	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Ethambutol	 	 	TnSeq	 	 	 	 	Yes
xu_emb_3_vs_xu_emb_0		3	3	Mutants exhibiting altered fitness in presence of ethambutol	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Ethambutol	 	 	TnSeq	 	 	 	 	
xu_mero_2.5_vs_xu_mero_0	2017_Xu_1E	2	2	Mutants exhibiting altered fitness in presence of meropenem	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Meropenem	 	 	TnSeq	 	 	 	 	Yes
