Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv0001	dnaA	Chromosomal replication initiator protein DnaA	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0002	dnaN	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0003	recF	DNA replication and repair protein RecF (single-strand DNA binding protein)	nambi_2015_ctpC_vs_nambi_2015_wt	0.55	0.97527	1	0
Rv0004	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.62	1	1	4
Rv0005	gyrB	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	nambi_2015_ctpC_vs_nambi_2015_wt	0.08	1	1	0
Rv0006	gyrA	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	nambi_2015_ctpC_vs_nambi_2015_wt	2.52	0.87499	1	0
Rv0007	-	Possible conserved membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.93	1	1	4
Rv0008c	-	Possible membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.56	1	1	4
Rv0009	ppiA	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	nambi_2015_ctpC_vs_nambi_2015_wt	2.06	0.56087	1	0
Rv0010c	-	Probable conserved membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.2	0.86321	1	4
Rv0011c	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	4
Rv0012	-	Probable conserved membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.49	0.62862	1	3
Rv0013	trpG	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	nambi_2015_ctpC_vs_nambi_2015_wt	-2.66	1	1	0
Rv0014c	pknB	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	nambi_2015_ctpC_vs_nambi_2015_wt	0.14	1	1	1
Rv0015c	pknA	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	nambi_2015_ctpC_vs_nambi_2015_wt	0.37	0.97527	1	1
Rv0016c	pbpA	Probable penicillin-binding protein PbpA	nambi_2015_ctpC_vs_nambi_2015_wt	-0.73	1	1	0
Rv0017c	rodA	Probable cell division protein RodA	nambi_2015_ctpC_vs_nambi_2015_wt	-0.58	1	1	0
Rv0018c	pstP	Phosphoserine/threonine phosphatase PstP	nambi_2015_ctpC_vs_nambi_2015_wt	1.39	0.69751	1	0
Rv0019c	fhaB	Conserved protein with FHA domain, FhaB	nambi_2015_ctpC_vs_nambi_2015_wt	-0.78	1	1	1
Rv0020c	fhaA	Conserved protein with FHA domain, FhaA	nambi_2015_ctpC_vs_nambi_2015_wt	-0.43	1	1	1
Rv0021c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.11	0.43268	1	4
Rv0022c	whiB5	Probable transcriptional regulatory protein WhiB-like WhiB5	nambi_2015_ctpC_vs_nambi_2015_wt	-1.3	0.97527	1	2
Rv0023	-	Possible transcriptional regulatory protein	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	1
Rv0024	-	Putative secreted protein P60-related protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.01	0.81255	1	2
Rv0025	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-3.05	0.97527	1	4
Rv0026	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.7	0.97527	1	4
Rv0027	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	6.59	0.39308	1	4
Rv0028	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.1	0.7161	1	4
Rv0029	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.28	1	1	4
