Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv0001	dnaA	Chromosomal replication initiator protein DnaA	2003A_Sassetti	-3.37840069004097	0.0040641567	3	0
Rv0002	dnaN	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	2003A_Sassetti				0
Rv0003	recF	DNA replication and repair protein RecF (single-strand DNA binding protein)	2003A_Sassetti				0
Rv0004	-	hypothetical protein	2003A_Sassetti				4
Rv0005	gyrB	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	2003A_Sassetti	-5.91952173039458	3.637654E-06	3	0
Rv0006	gyrA	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	2003A_Sassetti				0
Rv0007	-	Possible conserved membrane protein	2003A_Sassetti				4
Rv0008c	-	Possible membrane protein	2003A_Sassetti				4
Rv0009	ppiA	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	2003A_Sassetti				0
Rv0010c	-	Probable conserved membrane protein	2003A_Sassetti				4
Rv0011c	-	Probable conserved transmembrane protein	2003A_Sassetti				4
Rv0012	-	Probable conserved membrane protein	2003A_Sassetti				3
Rv0013	trpG	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	2003A_Sassetti				0
Rv0014c	pknB	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	2003A_Sassetti	-4.46987522765937	0.005660464	3	1
Rv0015c	pknA	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	2003A_Sassetti	-4.16395349341343	0.00062543154	3	1
Rv0016c	pbpA	Probable penicillin-binding protein PbpA	2003A_Sassetti				0
Rv0017c	rodA	Probable cell division protein RodA	2003A_Sassetti				0
Rv0018c	pstP	Phosphoserine/threonine phosphatase PstP	2003A_Sassetti				0
Rv0019c	fhaB	Conserved protein with FHA domain, FhaB	2003A_Sassetti				1
Rv0020c	fhaA	Conserved protein with FHA domain, FhaA	2003A_Sassetti				1
Rv0021c	-	hypothetical protein	2003A_Sassetti				4
Rv0022c	whiB5	Probable transcriptional regulatory protein WhiB-like WhiB5	2003A_Sassetti				2
Rv0023	-	Possible transcriptional regulatory protein	2003A_Sassetti				1
Rv0024	-	Putative secreted protein P60-related protein	2003A_Sassetti				2
Rv0025	-	hypothetical protein	2003A_Sassetti				4
Rv0026	-	hypothetical protein	2003A_Sassetti				4
Rv0027	-	hypothetical protein	2003A_Sassetti				4
Rv0028	-	hypothetical protein	2003A_Sassetti				4
Rv0029	-	hypothetical protein	2003A_Sassetti				4
