column_ID_std	column_ID_SI	num replicates control	num replicates experimental	meaning	paper_title	paper_URL	in vitro/cell/in vivo	in vitro media	carbon source	stress	GI_RvID	GI_name	Microarray or TnSeq	mouse strain	cell type	Mtb strain	plot_SI_graph
	2003A_Sassetti				Genes required for mycobacterial growth defined by high density mutagenesis	https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2958.2003.03425.x	in_vitro	7H10	glycerol	-			microarray			H37Rv	No
	2003B_Sassetti				Genetic requirements for mycobacterial survival during infection	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC240732/	in_vivo	-	-				microarray			H37Rv	No
	2005_Rengarajan				Genome-wide requirements for Mycobacterium tuberculosis adaptation and survival in macrophages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1142121/	in_cell	-	-	-			microarray			H37Rv	No
	2006_Joshi_GI_1				Characterization of mycobacterial virulence genes through genetic interaction mapping	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1544243/	in_vivo	-	-		Rv0173		microarray			H37Rv	No
	2006_Joshi_GI_2				Characterization of mycobacterial virulence genes through genetic interaction mapping	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1544243/	in_vivo	-	-		Rv3502c		microarray			H37Rv	No
griffin_cholesterol_vs_griffin_glycerol	2011_Griffin_2	2	3	Mutants exhiting altered fitness during cholesterol catabolism	High-Resolution Phenotypic Profiling Defines Genes Essential for Mycobacterial Growth and Cholesterol Catabolism	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3182942/	in_vitro	minimal_media	cholesterol	-			TnSeq			H37Rv	No
	2012_Zhang			Mutants exhibiting altered fitness in growth on 7H10 agar	Global Assessment of Genomic Regions Required for Growth in Mycobacterium tuberculosis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3460630/	in_vitro	7H10	glycerol	-			TnSeq			H37Rv	No
griffin_glycerol_vs_mbio_H37Rv		14	2		A Hidden Markov Model for identifying essential and growth-defect regions in bacterial genomes from transposon insertion sequencing data.	https://www.ncbi.nlm.nih.gov/pubmed/24103077	in_vitro		glycerol	-			TnSeq			H37Rv	
zhang_wt_mouse_d10_vs_zhang_input_library	2013_Zhang_1A	1	3	Mutants exhibiting altered fitness in mouse infection model after 10 days	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vivo	-	-				TnSeq	WT		H37Rv	No
zhang_wt_mouse_d45_vs_zhang_input_library	2013_Zhang_1B	1	3	Mutants exhibiting altered fitness in mouse infection model after 45 days	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vivo	-	-				TnSeq	WT		H37Rv	No
