Rv_ID,gene_name,Description,Expt,log2FC,q-val,# control reps,# experimental reps,meaning,paper_title,paper_URL
Rv0001,dnaA,Chromosomal replication initiator protein DnaA,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0002,dnaN,DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0003,recF,DNA replication and repair protein RecF (single-strand DNA binding protein),nambi_2015_ctpC_vs_nambi_2015_wt,0.55,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0004,Rv0004,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.62,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0005,gyrB,DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),nambi_2015_ctpC_vs_nambi_2015_wt,0.08,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0006,gyrA,DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),nambi_2015_ctpC_vs_nambi_2015_wt,2.52,0.87499,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0007,Rv0007,Possible conserved membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-2.93,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0008c,Rv0008c,Possible membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.56,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0009,ppiA,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A),nambi_2015_ctpC_vs_nambi_2015_wt,2.06,0.56087,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0010c,Rv0010c,Probable conserved membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.2,0.86321,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
