Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv0001	dnaA	Chromosomal replication initiator protein DnaA	Essential	information pathways	Rv1783, Rv1613, Rv1007c, Rv0952, Rv0283, Rv3795, Rv2992c, Rv2555c, Rv3608c, Rv3834c
Rv0002	dnaN	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	Essential	information pathways	Rv3596c, Rv2906c, Rv3031, Rv1658, Rv2987c, Rv1652, Rv2109c, Rv1208, Rv2580c, Rv1464
Rv0003	recF	DNA replication and repair protein RecF (single-strand DNA binding protein)	Non essential	information pathways	Rv3384c, Rv2737c, Rv1082, Rv2200c, Rv3262, Rv1080c, Rv3810, Rv1474c, Rv3919c, Rv1542c
Rv0004	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3764c, Rv2246, Rv2404c, Rv1248c, Rv3025c, Rv2391, Rv0946c, Rv0066c, Rv1170, Rv1956
Rv0005	gyrB	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	Essential	information pathways	Rv3518c, Rv1755c, Rv1169c, Rv2870c, Rv2816c, Rv1938, Rv3130c, Rv2428, Rv1848, Rv0220
Rv0006	gyrA	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	Essential	information pathways	Rv1310, Rv3915, Rv2122c, Rv3713, Rv0284, Rv3051c, Rv2178c, Rv3048c, Rv2461c, Rv2139
Rv0007	-	Possible conserved membrane protein	Non essential	cell wall and cell processes	Rv2383c, Rv2384, Rv2171, Rv0859, Rv0407, Rv0470c, Rv1447c, Rv3261, Rv1280c, Rv0465c
Rv0008c	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv3667, Rv2626c, Rv3223c, Rv0098, Rv0617, Rv0864, Rv2976c, Rv3568c, Rv1860, Rv3809c
Rv0009	ppiA	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	Non essential	information pathways	Rv0191, Rv2010, Rv2088, Rv0254c, Rv2866, Rv2602, Rv3600c, Rv1478, Rv0620, Rv3866
Rv0010c	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv1130, Rv1129c, Rv1495, Rv0065, Rv3307, Rv1448c, Rv1029, Rv3088, Rv3853, Rv1563c
Rv0011c	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv2986c, Rv2594c, Rv3676, Rv3858c, Rv3804c, Rv0440, Rv3465, Rv2582, Rv0288, Rv3032
Rv0012	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv1280c, Rv0470c, Rv2383c, Rv2384, Rv3283, Rv2795c, Rv0554, Rv0561c, Rv2752c, Rv0465c
Rv0013	trpG	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	Essential	intermediary metabolism and respiration	Rv0668, Rv2252, Rv1604, Rv0557, Rv3802c, Rv1316c, Rv0478, Rv3168, Rv1629, Rv0900
Rv0014c	pknB	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	Essential	regulatory proteins	Rv1713, Rv0350, Rv1536, Rv2610c, Rv1606, Rv2460c, Rv3800c, Rv2845c, Rv1380, Rv3436c
Rv0015c	pknA	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	Essential	regulatory proteins	Rv3469c, Rv1747, Rv0676c, Rv1843c, Rv0447c, Rv1915, Rv3824c, Rv0159c, Rv2590, Rv3792
Rv0016c	pbpA	Probable penicillin-binding protein PbpA	Non essential	cell wall and cell processes	Rv0022c, Rv0050, Rv0642c, Rv0098, Rv1183, Rv3495c, Rv0761c, Rv2048c, Rv3809c, Rv1284
Rv0017c	rodA	Probable cell division protein RodA	Non essential	cell wall and cell processes	Rv0050, Rv0022c, Rv3809c, Rv2976c, Rv0098, Rv1284, Rv1860, Rv3315c, Rv0864, Rv1108c
Rv0018c	pstP	Phosphoserine/threonine phosphatase PstP	Essential domain	regulatory proteins	Rv2740, Rv0734, Rv3132c, Rv3416, Rv2103c, Rv1253, Rv2002, Rv0732, Rv3405c, Rv3763
Rv0019c	fhaB	Conserved protein with FHA domain, FhaB	Non essential	regulatory proteins	Rv1596, Rv3570c, Rv0065, Rv3024c, Rv0694, Rv1130, Rv1026, Rv1495, Rv3567c, Rv0749
Rv0020c	fhaA	Conserved protein with FHA domain, FhaA	Essential domain	regulatory proteins	Rv1884c, Rv2466c, Rv0678, Rv2276, Rv3282, Rv0130, Rv2673, Rv0496, Rv0937c, Rv3149
Rv0021c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1983, Rv1980c, Rv3825c, Rv3808c, Rv1389, Rv1484, Rv0503c, Rv0285, Rv1306, Rv1075c
Rv0022c	whiB5	Probable transcriptional regulatory protein WhiB-like WhiB5	Non essential	regulatory proteins	Rv0050, Rv1284, Rv3809c, Rv2976c, Rv1860, Rv3315c, Rv0098, Rv3557c, Rv1108c, Rv0016c
Rv0023	-	Possible transcriptional regulatory protein	Growth defect	regulatory proteins	Rv2122c, Rv0284, Rv3713, Rv3051c, Rv2178c, Rv2139, Rv3048c, Rv3915, Rv1310, Rv2461c
Rv0024	-	Putative secreted protein P60-related protein	Non essential	virulence, detoxification, adaptation	Rv1493, Rv1625c, Rv2918c, Rv0549c, Rv2074, Rv1634, Rv0643c, Rv1820, Rv2701c, Rv1161
Rv0025	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0098, Rv3667, Rv0008c, Rv2626c, Rv0050, Rv3809c, Rv2976c, Rv3223c, Rv0022c, Rv0617
Rv0026	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3681c, Rv1495, Rv3488, Rv0065, Rv3357, Rv2031c, Rv3062, Rv3853, Rv1596, Rv3203
Rv0027	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1553, Rv2549c, Rv0677c, Rv3398c, Rv1207, Rv3841, Rv0969, Rv3383c, Rv0847, Rv1745c
Rv0028	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2332, Rv0735, Rv0602c, Rv3045, Rv2677c, Rv1743, Rv2498c, Rv1364c, Rv2497c, Rv1492
Rv0029	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2870c, Rv1938, Rv3518c, Rv2428, Rv1755c, Rv0282, Rv0005, Rv1169c, Rv1848, Rv2816c
Rv0030	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0895, Rv0693, Rv1368, Rv3826, Rv0469, Rv0655, Rv2427c, Rv3866, Rv3309c, Rv0432
Rv0031	-	Possible remnant of a transposase	Uncertain	insertion seqs and phages	Rv3441c, Rv0998, Rv2416c, Rv2151c, Rv2524c, Rv3152, Rv3085, Rv3628, Rv3910, Rv0414c
Rv0032	bioF2	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	Non essential	intermediary metabolism and respiration	Rv3065, Rv2973c, Rv3879c, Rv0853c, Rv1162, Rv2881c, Rv0764c, Rv1155, Rv3409c, Rv1819c
Rv0033	acpA	Probable acyl carrier protein AcpA (ACP)	Non essential	lipid metabolism	Rv2820c, Rv3010c, Rv1189, Rv1143, Rv0301, Rv0491, Rv0901, Rv1433, Rv2009, Rv1660
Rv0034	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3132c, Rv0734, Rv0018c, Rv2740, Rv3763, Rv3416, Rv0732, Rv2103c, Rv1253, Rv2002
Rv0035	fadD34	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv2258c, Rv2447c, Rv2763c, Rv1469, Rv3582c, Rv2589, Rv1527c, Rv0054, Rv1288, Rv1654
Rv0036c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1189, Rv0549c, Rv2200c, Rv2275, Rv2459, Rv3010c, Rv2820c, Rv1106c, Rv2009, Rv2737c
Rv0037c	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv2351c, Rv0503c, Rv1306, Rv2970c, Rv3825c, Rv1601, Rv1980c, Rv1983, Rv1651c, Rv0467
Rv0038	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2416c, Rv3441c, Rv2151c, Rv0998, Rv3085, Rv3152, Rv3628, Rv2524c, Rv3910, Rv0414c
Rv0039c	-	Possible conserved transmembrane protein	Non essential	cell wall and cell processes	Rv1027c, Rv1496, Rv1400c, Rv1931c, Rv3908, Rv2780, Rv0670, Rv3561, Rv0237, Rv3793
Rv0040c	mtc28	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	Non essential	cell wall and cell processes	Rv0934, Rv2950c, Rv0564c, Rv2301, Rv1694, Rv1242, Rv3509c, Rv3886c, Rv2953, Rv1653
Rv0041	leuS	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	Essential	information pathways	Rv2357c, Rv1011, Rv3834c, Rv3341, Rv3436c, Rv2845c, Rv1485, Rv2555c, Rv3583c, Rv3800c
Rv0042c	-	Possible transcriptional regulatory protein (probably MarR-family)	Non essential	regulatory proteins	Rv2801c, Rv2919c, Rv3358, Rv0113, Rv0982, Rv2865, Rv3240c, Rv1259, Rv2587c, Rv1537
Rv0043c	-	Probable transcriptional regulatory protein (probably GntR-family)	Non essential	regulatory proteins	Rv1076, Rv2213, Rv2959c, Rv3203, Rv1173, Rv2952, Rv3357, Rv3681c, Rv2530c, Rv3488
Rv0044c	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3488, Rv3592, Rv0749, Rv3357, Rv3681c, Rv3853, Rv3062, Rv3911, Rv3610c, Rv0065
Rv0045c	-	Possible hydrolase	Non essential	lipid metabolism	Rv0475, Rv0203, Rv3842c, Rv1302, Rv2376c, Rv0751c, Rv2350c, Rv0137c, Rv2625c, Rv0577
Rv0046c	ino1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	Essential	intermediary metabolism and respiration	Rv0357c, Rv2965c, Rv0562, Rv2145c, Rv2461c, Rv3028c, Rv2157c, Rv1380, Rv0957, Rv0706
Rv0047c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3145, Rv3151, Rv3148, Rv0445c, Rv2005c, Rv1558, Rv3146, Rv3150, Rv1335, Rv2267c
Rv0048c	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv2294, Rv2501c, Rv1962c, Rv3225c, Rv0886, Rv1308, Rv3382c, Rv0453, Rv3366, Rv2270
Rv0049	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3358, Rv3240c, Rv1259, Rv2865, Rv2587c, Rv2919c, Rv0982, Rv2801c, Rv0211, Rv0626
Rv0050	ponA1	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	Non essential	cell wall and cell processes	Rv0022c, Rv3809c, Rv1284, Rv2976c, Rv0098, Rv1860, Rv3315c, Rv3557c, Rv1108c, Rv0864
Rv0051	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv0933, Rv2702, Rv3754, Rv0866, Rv3272, Rv0500, Rv2596, Rv0805, Rv2232, Rv2530c
Rv0052	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1690, Rv0518, Rv0757, Rv2855, Rv3273, Rv1196, Rv1222, Rv2880c, Rv3823c, Rv3619c
Rv0053	rpsF	30S ribosomal protein S6 RpsF	Essential	information pathways	Rv1248c, Rv1956, Rv3588c, Rv3764c, Rv0462, Rv2391, Rv1340, Rv3025c, Rv2110c, Rv2404c
Rv0054	ssb	Single-strand binding protein Ssb (helix-destabilizing protein)	Essential	information pathways	Rv2589, Rv1527c, Rv1771, Rv2431c, Rv2447c, Rv2258c, Rv1876, Rv2725c, Rv1288, Rv3573c
Rv0055	rpsR1	30S ribosomal protein S18-1 RpsR1	Essential	information pathways	Rv0626, Rv0211, Rv0596c, Rv0126, Rv3835, Rv2587c, Rv1259, Rv3240c, Rv1114, Rv2865
Rv0056	rplI	50S ribosomal protein L9 RplI	Non essential	information pathways	Rv1187, Rv3565, Rv1121, Rv2007c, Rv2757c, Rv3270, Rv3518c, Rv1938, Rv3444c, Rv1755c
